Project,Class,Pattern
jbehave-core,AbstractStepsFactory,AbstractFactory
jbehave-core,CompositeStepsFactory,AbstractFactory
jbehave-core,InjectableStepsFactory,AbstractFactory
jbehave-core,InstanceStepsFactory,AbstractFactory
jbehave-core,ProvidedStepsFactory,AbstractFactory
jbehave-core,GroovyStepsFactory,AbstractFactory
jbehave-core,GuiceStepsFactory,AbstractFactory
jbehave-core,PicoStepsFactory,AbstractFactory
jbehave-core,ScalaStepsFactory,AbstractFactory
jbehave-core,SpringStepsFactory,AbstractFactory
jbehave-core,WeldStepsFactory,AbstractFactory
Generic-Graph-View,InstancemodelFactory,AbstractFactory
Generic-Graph-View,InstancemodelFactoryImpl,AbstractFactory
Generic-Graph-View,GraphViewMappingFactory,AbstractFactory
Generic-Graph-View,GraphViewMappingFactoryImpl,AbstractFactory
Generic-Graph-View,GraphViewStyleFactory,AbstractFactory
Generic-Graph-View,GraphViewStyleFactoryImpl,AbstractFactory
refactoring_guru,GUIFactory,AbstractFactory
refactoring_guru,MacOSFactory,AbstractFactory
refactoring_guru,WindowsFactory,AbstractFactory
java-design-patterns-master,OrcKingdomFactory,AbstractFactory
java-design-patterns-master,KingdomFactory,AbstractFactory
java-design-patterns-master,ElfKingdomFactory,AbstractFactory
java-design-patterns,AbstractFactory,AbstractFactory
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,OracleRegistrationDAOFactory,AbstractFactory
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
java-patterns,RegistrationDAOFactory,AbstractFactory
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
java-patterns,OracleRegistrationDAOFactory,AbstractFactory
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
java-patterns,RegistrationDAOFactory,AbstractFactory
jpatterns,AbstractFactoryPattern,AbstractFactory
A7B36ASS,AbstractFactory,AbstractFactory
A7B36ASS,StudentFactory,AbstractFactory
A7B36ASS,TeacherFactory,AbstractFactory
milton,ResourceFactoryFactory,AbstractFactory
milton,HrResourceFactoryFactory,AbstractFactory
